cluster_id,generation,n_targets,p_marked_before,p_marked_after,delta,target_amplify,diagnostic_shots
0,8,10,0.000260,0.002340,0.002080,8.9938,exact
0,16,10,0.003749,0.033400,0.029651,8.9103,exact
0,24,10,0.010419,0.091181,0.080762,8.7517,exact
0,32,10,0.003330,0.029702,0.026372,8.9203,exact
1,8,10,0.000181,0.001631,0.001450,8.9956,exact
1,16,10,0.000291,0.002621,0.002330,8.9930,exact
1,24,10,0.045438,0.360892,0.315454,7.9425,exact
1,32,10,0.517748,0.446847,-0.070901,0.8631,exact
2,8,12,0.908835,0.366855,-0.541980,0.4037,exact
2,16,8,0.029112,0.242066,0.212954,8.3149,exact
2,24,11,0.442687,0.668927,0.226240,1.5111,exact
2,32,8,0.564840,0.309841,-0.254999,0.5485,exact
3,8,10,0.000000,0.000001,0.000001,9.0000,exact
3,16,10,0.000256,0.002306,0.002050,8.9938,exact
3,24,10,0.000023,0.000207,0.000184,8.9994,exact
3,32,9,0.196886,0.963749,0.766863,4.8950,exact
4,8,10,0.000000,0.000000,0.000000,9.0000,exact
4,16,19,0.280046,0.989601,0.709555,3.5337,exact
4,24,23,0.355330,0.885565,0.530235,2.4922,exact
4,32,32,0.542636,0.373331,-0.169305,0.6880,exact
